word,string,_word,heading,content,table,,,,,,,
fulfill,"<p><b>FULFILL', </b> v.t. [A tautological compound of full and fill.]<p><DD>1. To accomplish; to perform; to complete; to answer in execution or event what has been foretold or promised; as, to fulfill a prophecy or prediction; to fulfill a promise.<p><DD>2. To accomplish what was intended; to answer a design by execution.<p><DD>Here nature seems fulfilled in all her ends.<p><DD>3. To accomplish or perform what was desired; to answer any desire by compliance or gratification.<p><DD>He will fulfill the desire of them that fear him. Ps. 145.<p><DD>4. To perform what is required; to answer a law by obedience.<p><DD>If ye fulfill the royal law according to the scripture, Thou shalt love thy neighbor as thyself, ye do well. James 2.<p><DD>5. To complete in time.<p><DD>Fulfill her week. Gen. 29.<p><DD>6. In general, to accomplish; to complete; to carry into effect.",firstfruit,First-fruit,,,,,,,,,
funnelshaped,"<p><b>FUN'NELSHAPED, </b> a. Having the form of a funnel or inverted hollow cone.",flammation,Flammation,,,,,,,,,
galenist,"<p><b>GA'LENIST</b>, n. A follower of Galen in the preparation of medicine and modes of treating diseases; opposed to the chimists.",flintheart,Flintheart,,,,,,,,,
gantlope,"<p><b>GANT'LOPE</b>, n. A military punishment inflicted on criminals for some heinous offense. It is executed in this manner; soldiers are arranged in two rows, face to face, each armed with a switch or instrument of punishment; between these rows, the offender, stripped to his waist, is compelled to pass a certain number of times, and each man gives him a stroke. A similar punishment is used on board of ships. Hence this word is chiefly used in the phrase, to run the gantlet or gantlope.",flowingness,Flowingness,,,,,,,,,
generical,"<p><b>GENER'ICAL</b>, a. [L. genus.] Pertaining to a genus or kind; comprehending the genus, as distinct from species, or from another genus. A generic description is a description of a genus; a generic difference is a difference in genus; a generic name is the denomination which comprehends all the species, as of animals, plants or fossils, which have certain essential and peculiar characters in common. Thus Canis is the generic name of animals of the dog kind; Felis, of the cat kind; Cervus, of the deer kind.",footstool,Footstool,,,,,,,,,
geodetical,"<p><b>GEODET'ICAL</b>, a. Pertaining to the art of measuring surfaces.",foreby,Foreby,,,,,,,,,
globated,"<p><b>GLO'BATED</b>, a. [L. globatus.] Having the form of a globe; spherical; spheroidal.",foulspoken,Foulspoken,,,,,,,,,
glyconic,"<p><b>GLYCON'IC</b>, a. [Low L. glyconium.] Denoting a kind of verse in Greek and Latin poetry, consisting of three feet, a spondee, a choriamb, and a pyrrhic; as Glyconic measure.",franklinite,Franklinite,,,,,,,,,
gnarl,"<p><b>GN`ARL</b>, v.i. n`ar and n`arl. To growl; to murmur; to snarl.<p><DD><DD> And wolves are gnarling which shall gnaw thee first.<p>[Gnar is nearly obsolete.]",franticness,Franticness,,,,,,,,,
gnomonical,"<p><b>GNOMON'ICAL</b>, a. Pertaining to the art of dialling.",freakishness,Freakishness,,,,,,,,,
greencloth,"<p><b>GREE'NCLOTH</b>, n. A board or court of justice held in the counting house of the British king's household, composed of the lord steward and the officers under him. This court has the charge and cognizance of all matters of justice in the king's household, with power to correct offenders and keep the peace of the verge, or jurisdiction of the court-royal, which extends every way two hundred yards from the gate of the palace.",fusion,Fusion,,,,,,,,,
gypsum,"<p><b>GYP'SUM</b>, n. Plaster stone; sulphate of lime; a mineral not infrequently found in crystals, often in amorphous masses. There are several subspecies and varieties; as the foliated, compact, earthy, granular, snowy and branchy. Gypsum is of great use in agriculture and the arts. As a manure, it is invaluable.",gender,Gender,,,,,,,,,
handmaiden,"<p><b>HAND'MAIDEN</b>, n. A maid that waits at hand; a female servant or attendant.",gimmal,Gimmal,,,,,,,,,
hariolation,"<p><b>HARIOLA'TION</b>, n. [L. harioltio.] Sooth-saying. [Not in use.]",glassy,Glassy,,,,,,,,,
harlequin,"<p><b>H`ARLEQUIN</b>, n. A buffoon, dressed in party-colored clothes, who plays tricks, like a merry-andrew, to divert the populace. This character was first introduced into Italian comedy, but is now a standing character in English pantomime entertainments.<p><b>H`ARLEQUIN</b>, v.i. To play the droll; to make sport by playing ludicrous tricks.",glaucoma,Glaucoma,,,,,,,,,
hastated,"<p><b>HAS'TATED</b>, a. [L. hastatus, from hasta, a spear.] In botany, spear-shaped; resembling the head of a halberd; triangular, hollowed at the base and on the sides, with the angles spreading; as a hastate leaf.",gloomy,Gloomy,,,,,,,,,
hasten,"<p><b>HASTEN</b>, v.t. To press; to drive or urge forward; to push on; to precipitate; to accelerate movement.<p><DD><DD> I would hasten my escape from the windy storm. Ps.55.",glorification,Glorification,,,,,,,,,
hasting-pear,"<p><b>HASTING-PEAR</b>, n. An early pear, called also green chissel.",glorying,Glorying,,,,,,,,,
hearth-penny,"<p><b>HE`ARTH-PENNY</b>, n. A tax on hearths.",goodman,Goodman,,,,,,,,,
hearts-ease,"<p><b>HE`ART'S-EASE</b>, n. A plant, a species of Viola.",goosander,Goosander,,,,,,,,,
hebdomadary,"<p><b>HEBDOM'ADARY</b>, a. Weekly; consisting of seven days, or occurring every seven days.<p><b>HEBDOM'ADARY</b>, n. A member of a chapter or convent, whose week it is to officiate in the choir, rehearse the anthems and prayers, and perform other services, which on extraordinary occasions are performed by the superiors.",gouge,Gouge,,,,,,,,,
hectical,"<p><b>HEC'TICAL</b>, a. [Gr. habit of body, to have.] Habitual; denoting a slow, continual fever, marked by preternatural, though remitting heat, which precedes and accompanies the consumption or phthisis; as a hectic fever.<p><DD>1. Affected with hectic fevers; as a hectic patient.<p><DD>2. Troubled with a morbid heat.<p><DD><DD> No hectic student scares the gentle maid.",gowan,Gowan,,,,,,,,,
hedge-born,"<p><b>HEDGE-BORN</b>, a. Of low birth, as if born in the woods; outlandish; obscure.",graces,Graces,,,,,,,,,
hemorrhage,<p><b>HEM'ORRHAGE</b>,gratefully,Gratefully,,,,,,,,,
hemorrhagic,"<p><b>HEM'ORRHAGIC</b>, a. Pertaining to a flux of blood; consisting in hemorrhage.",gratefulness,Gratefulness,,,,,,,,,
hendecagon,"<p><b>HENDEC'AGON</b>, n. [Gr. eleven, and an angle.] In geometry, a figure of eleven sides, and as many angles.",gratulating,Gratulating,,,,,,,,,
hepatical,"<p><b>HEPAT'ICAL</b>, a. [L. hepaticus; Gr. the liver.] Pertaining to the liver; as hepatic gall; hepatic pain; hepatic artery; hepatic flux.<p><DD>Hepatic air or gas, is a fetid vapor or elastic fluid emitted from combinations of sulphur with alkalies, earths and metals.<p>This species of air is now called sulphurated hydrogen gas.<p><DD>Hepatic mercurial ore, a mineral of a reddish, or reddish brown, or dark red color. Its streak is dark red, and has some luster. It occurs in compact masses, with an even or fine grained fracture.<p><DD>Hepatic pyrite, hepatic sulphuret of iron. During the process of decomposition of this ore, by which the sulphur is more or less disengaged, the pyrite is converted, either wholly or in part, into a compact oxyd of iron of a liver brown color; hence its name.",graveled,Graveled,,,,,,,,,
herdsman,"<p><b>HERDS'MAN</b>, n. A keeper of herds; one employed intending herds of cattle.<p><DD>1. Formerly, the owner of a herd.",greencrop,Green-crop,,,,,,,,,
hiproof,"<p><b>HIP'ROOF</b>, n. [hip and roof.] A roof that has an angle.",gullish,Gullish,,,,,,,,,
historical,"<p><b>HISTOR'ICAL</b>, a. [L. historicus.] Containing history, or the relation of facts; as a historical poem; the historic page; historic brass.<p><DD>1. Pertaining to history; as historic care or fidelity.<p><DD>2. Contained in history; deduced from history; as historical evidence.<p><DD>3. Representing history; as a historical chart; historical painting.",guncarriage,Gun-carriage,,,,,,,,,
hitherwards,"<p><b>HITH'ERWARDS</b>, adv. This way; towards this place.<p><DD><DD> A puissant and mighty power--<p><DD><DD> Is marching hitherward in proud array.",gushing,Gushing,,,,,,,,,
hobbism,"<p><b>HOB'BISM</b>, n. The principles of the sceptical Thomas Hobbes.",guzzle,Guzzle,,,,,,,,,
hodiernal,"<p><b>HODIERN'AL</b>, a. [L. hodiernus, from hodie, hoc die, this day.] <p>Of this day; belonging to the present day.",gyrfalcon,Gyrfalcon,,,,,,,,,
homestead,"<p><b>HO'MESTEAD</b>, n. The place of a mansion house; the inclosure or ground immediately connected with the mansion.<p><DD>1. Native seat; original station or place of residence.<p><DD><DD> We can trace them back to a homestead on the rivers Volga and Ural. [In the U. States, homestead is the word used.]",halcyonian,Halcyonian,,,,,,,,,
homeward-bound,"<p><b>HO'MEWARD-BOUND</b>, a. Destined for home; returning from a foreign country to the place where the owner resides; as the homeward-bound fleet. We spoke a brig homeward-bound.",half,Half,,,,,,,,,
homiletical,"<p><b>HOMILET'ICAL</b>, a. [ Gr. to converse in company.]<p><DD>1. Pertaining to familiar intercourse; social; conversable; companionable.<p><DD>2. Homiletic theology, a branch of practical theology, which teaches the manner in which ministers of the gospel should adapt their discourses to the capacities of their hearers, and pursue the best methods of instructing them by their doctrines and examples. It is also called pastoral theology.",halffaced,Half-faced,,,,,,,,,
homogenealness,<p><b>HOMOGE'NEALNESS</b>,halfmoon,Half-moon,,,,,,,,,
homogeneity,"<p><b>HOMOGENE'ITY</b>, Words not to be encouraged; equivalent to.",halfpart,Half-part,,,,,,,,,
honey-mouthed,"<p><b>HON'EY-MOUTHED</b>, a. Soft or smooth in speech.",hallow,Hallow,,,,,,,,,
horemonger,"<p><b>HO'REMONGER</b>, n. A man who is addicted to lewdness, or frequently indulges in unlawful sexual intercourse.",handlanguage,Handlanguage,,,,,,,,,
horsetail,"<p><b>HORSETAIL</b>, n. A plant of the genus Equisetum. The shrubby horsetail is of the genus Ephedra.",harefoot,Harefoot,,,,,,,,,
housemaid,"<p><b>HOUSEMAID</b>, n. hous'maid. A female servant employed to keep a house clean, &c.",hassoc,Hassoc,,,,,,,,,
howitzer,"<p><b>HOW'ITZER</b>, n. A kind of mortar or short gun, mounted on a field carriage, and used for throwing shells. The difference between a mortar and a howitz is that the trunnions of a mortar are at the end, but those of a howitz are at the middle.",hatchetface,Hatchet-face,,,,,,,,,
humectate,"<p><b>HUMEC'TATE</b>, v.t. [L. humecto, from humeo, to be moist.]<p>To moisten; to wet; to water. [Little used.]",hazardry,Hazardry,,,,,,,,,
hunting-nag,"<p><b>HUNT'ING-NAG</b> , A horse used in hunting.",healthiness,Healthiness,,,,,,,,,
hurly-burly,"<p><b>HURL'Y-BURLY</b>, n. Tumult; bustle; confusion.",hearsal,Hearsal,,,,,,,,,
hydatis,"<p><b>HY'DATIS</b>, n. [ Gr. water.] A little transparent vesicle or bladder filled with water, on any part of the body, as in dropsy. <p>Hydatids are certain spherical bodies, found occasionally in man, as well as in other animals, lodged in or adhering to the different viscera. Some of them, at least, are considered as possessing an independent vitality, and as constituting a distinct animal, allied to the toenia or tape-worm. They consist of a head, neck, and vesicular body filled with a transparent fluid.",heater,Heater,,,,,,,,,
hydraulical,"<p><b>HYDRAUL'ICAL</b>, a. [L. hydraulicus; Gr. an instrument of music played by water; a pipe.]<p><DD>1. Relating to the conveyance of water through pipes.<p><DD>2. Transmitting water through pipes; as a hydraulic engine.<p>Hydraulic lime, a species of lime that hardens in water; used for cementing under water.",heathful,Heathful,,,,,,,,,
hydrophobic,"<p><b>HYDROPHO'BIC</b>, a. Pertaining to a dread of water, or canine madness.",hebetate,Hebetate,,,,,,,,,
hydropical,"<p><b>HYDROP'ICAL</b>, a. [L. hydrops; Gr. dropsy; water.]<p><DD>1. Dropsical; diseased with extravasated water.<p><DD>2. Containing water; caused by extravasated water; as a hydropic swelling.<p><DD>3. Resembling dropsy.<p><DD><DD> Every lust is a kind of hydropic distemper, and the more we drink the more we shall thirst.",hebetation,Hebetation,,,,,,,,,
hymenean,"<p><b>HYMENE'AN</b>, a. Pertaining to marriage.",hedgecreeper,Hedge-creeper,,,,,,,,,
hypersthene,"<p><b>HY'PERSTHENE</b>, n. A mineral, Labrador hornblend, or schillerspar. Its color is between grayish and greenish black, but nearly copper-red on the cleavage. So named from its difficult frangibility.",heliacally,Heliacally,,,,,,,,,
hypostasy,"<p><b>HYPOS'TASY</b>, n. [L. hypostasis; Gr. to stand.] Properly, subsistence or substance. Hence it is used to denote distinct substance, or subsistence of the Father, Son, and Holy Spirit, in the Godhead, called by the Greek christians, three hypostases. The Latins more generally used persona to express the sense of hypostasis, and this is the modern practice. We say, the Godhead consists of three persons.",hellish,Hellish,,,,,,,,,
hypothetical,"<p><b>HYPOTHET'ICAL</b>, a. Including a supposition; conditional; assumed without proof for the purpose of reasoning and deducing proof.",helotism,Helotism,,,,,,,,,
hysterical,"<p><b>HYSTER'ICAL</b>, a. [Gr. from the womb.] Disordered in the region of the womb; troubled with fits or nervous affections.",helterskelter,Helter-skelter,,,,,,,,,
ichthyocolla,"<p><b>ICHTHYOCOL'LA</b>, n. [Gr. a fish, and glue.] Fish-glue; isinglass; a glue prepared from the sounds of fish.",hempagrimony,Hemp-agrimony,,,,,,,,,
illuminism,"<p><b>ILLU'MINISM</b>, n. The principles of the Illuminati.",hexagonal,Hexagonal,,,,,,,,,
inhumation,"<p><b>INHUMA'TION</b>, n. The act of burying; interment.<p><DD>1. In chimistry, a method of digesting substances by burying the vessel containing them in warm earth, or a like substance.",impromptu,Impromptu,,,,,,,,,
inwoven,"<p><b>INWO'VEN</b>, pp. of inweave. Woven in; intertwined by weaving.",infucate,Infucate,,,,,,,,,
jardes,"<p><b>JARDES</b>, n. Callous tumors on the legs of a horse, below the bend of the ham on the outside.",insentient,Insentient,,,,,,,,,
jesuitical,"<p><b>JESUIT'ICAL</b>, a. Pertaining to the Jesuits or their principles and arts.<p><DD>1. Designing; cunning; deceitful; prevaricating.",inspirable,Inspirable,,,,,,,,,
jewel-like,"<p><b>JEW'EL-LIKE</b>, a. Brilliant as a jewel.",instability,Instability,,,,,,,,,
jocundly,"<p><b>JOC'UNDLY</b>, adv. Merrily; gayly.",institution,Institution,,,,,,,,,
judaical,"<p><b>JUDA'ICAL</b>, a. Pertaining to the Jews.",integrant,Integrant,,,,,,,,,
juiceless,"<p><b>JUICELESS</b>, a. ju'seless. Destitute of juice; dry; without moisture.",intempestively,Intempestively,,,,,,,,,
kangaroo,"<p><b>KANGAROO'</b>, n. A singular animal found in New Holland, resembling in some respects the opossum. It belongs to the genus Didelphis. It has a small head, neck and shoulders, the body increasing in thickness to the rump. The fore legs are very short, useless in walking, but used for digging or bringing food to the mouth. The hind legs, which are long, are used in moving, particularly in leaping.",interequinoctial,Interequinoctial,,,,,,,,,
kidney-shaped,<p><b>KID'NEY-SHAPED</b> a. Having the form or shape of a kidney.,internally,Internally,,,,,,,,,
laches,"<p><b>LACH'ES, </b> n. [L. laxus, lax, slow.] In law, neglect; negligence.",inurned,Inurned,,,,,,,,,
laciniated,"<p><b>LACIN'IATED, </b> a. [L. lacinia, a hem.]<p><DD>1. Adorned with fringes.<p><DD>2. In botany, jagged.",invaded,Invaded,,,,,,,,,
laconical,"<p><b>LACON'ICAL, </b> a. [l. laconicus, from Laconia or Lacomes, the Spartans.]<p><DD>1. Short; brief; pithy; sententious; expressing much in few words, after the manner of the Spartans; as a laconic phrase.<p><DD>2. Pertaining to Sparta or Lacedemonia.",invaluable,Invaluable,,,,,,,,,
langrel,"<p><b>LAN'GREL, </b> n. Langrel shot or langrage, is a particular kind of shot used at sea for tearing sails and rigging, and thus disabling an enemy's ship. It consists of bolts, nails and other pieces of iron fastened together.",iodin,Iodin,,,,,,,,,
larvated,"<p><b>L'ARVATED, </b> a. Masked; clothed as with a mask.",irreligiously,Irreligiously,,,,,,,,,
lemniscate,"<p><b>LEM'NISCATE, </b> n. [L. lemniscus, a ribbon; lemniscatus, adorned with ribbons.] A curve in the form of the figure 8.",jewspitch,Jews-pitch,,,,,,,,,
lentitude,"<p><b>LENT'ITUDE, </b> n. [L. lectus, slow.] Slowness. [Not used.]",jocundity,Jocundity,,,,,,,,,
lightfoot,"<p><b>LIGHTFOOT, </b>li'tefoot, ",keenly,Keenly,,,,,,,,,
ligulated,"<p><b>LIG'ULATED, </b> a. [L. ligula, a strap.] Like a bandage or strap; as a ligulate flower, a species of compound flower, the florets of which have their corollets flat, spreading out towards the end, with the base only tubular. This is the semi-floscular flower of Tournefort.",kerbstone,Kerb-stone,,,,,,,,,
lithomarge,"<p><b>LITH'OMARGE, </b> n. [Gr. stone, and L. marga, marl.]<p><DD>An earth of two species, friable and indurated, more siliceous than aluminous, distinguished by its great fineness and its fusibility into a soft slag.",know,Know,,,,,,,,,
lithophagous,"<p><b>LITHOPH'AGOUS, </b> a. [Gr. stone, and to eat.]<p><DD>Eating or swallowing stones or gravel, as the ostrich.",knowingly,Knowingly,,,,,,,,,
lixiviate,"<p><b>LIXIV'IATE, </b>",laborless,Laborless,,,,,,,,,
lixiviated,"<p><b>LIXIV'IATED, </b> a. <p><DD>1. Pertaining to lye or lixivium; of the quality of alkaline salts.<p><DD>2. Impregnated with salts from wood ashes.",laborsome,Laborsome,,,,,,,,,
lohock,"<p><b>LO'HOCK, </b> n. A medicine of a middle consistence between a soft electuary and a syrup. [See Loch.]",laminable,Laminable,,,,,,,,,
lumachella,"<p><b>LUMACHEL'LA, </b>n. A calcarious stone composed of shells and coral conglutinated, but so far retaining their organization as to exhibit different colors, and so hard as to admit of polish.",laystall,Laystall,,,,,,,,,
lunarian,"<p><b>LUNA'RIAN, </b> n. An inhabitant of the moon.",leaf,Leaf,,,,,,,,,
lymphated,"<p><b>LYMPH'ATED</b>, a. Frightened into madness; raving.",legatine,Legatine,,,,,,,,,
lyrical,"<p><b>LYR'ICAL</b>, a. [L. lyricus.] Pertaining to a lyre or harp. Lyric poetry is such as is sung to the harp or lyre. This was much cultivated by the ancients, among whom Anacreon, Alcoeus, Stesichorus, Sappho and Horace are distinguished as lyric poets.",legged,Legged,,,,,,,,,
mahound,"<p><b>MA'HOUND</b>, n. Formerly a contemptuous name for Mohammed and the devil, &c.",levigating,Levigating,,,,,,,,,
mamaluke,<p><b>MAM'ALUKE</b>,lightlegged,Lightlegged,,,,,,,,,
mameluke,"<p><b>MAM'ELUKE</b>, n. The military force of Egypt consisted of soldiers called Mamelukes, who were originally mercenaries, but afterwards masters of the country. Their power has been recently annihilated by the present Pashaw of Egypt.",lightless,Lightless,,,,,,,,,
manihot,"<p><b>MA'NIHOT</b>, n. A plant of the genus Jatropha, or Cassada plant. It has palmated leaves, with entire lobes. Manioc is an acrid plant, but from its root is extracted a pleasant nourishing substance, called cassava. This is obtained by grating the root, and pressing out the juice, which is an acrid and noxious poison. The substance is then dried and baked, or roasted on a plate of hot iron.",linkboy,Linkboy,,,,,,,,,
mantiger,"<p><b>MANT'IGER</b>, rather mantichor, or manticor, n. [L. manticora, mantichora.] A large monkey or baboon.",lisp,Lisp,,,,,,,,,
mantle-shelf,"<p><b>MAN'TLE-SHELF</b>, n. The work over a fire-place, in front of the chimney.",lispingly,Lispingly,,,,,,,,,
maple-sugar,"<p><b>MAPLE-SU'GAR</b>, n. Sugar obtained by evaporation from the juice of the rock maple.",lithomarga,Lithomarga,,,,,,,,,
marline,"<p><b>M`ARLINE</b>, n. A small line composed of two strands little twisted, and either tarred or white; used for winding round ropes and cables, to prevent their being fretted by the blocks, &c.<p><b>M`ARLINE</b>, v.t. To wind marline round a rope.",loathing,Loathing,,,,,,,,,
marling,"<p><b>M`ARLING</b>, n. The act of winding a small line about a rope, to prevent its being galled.",loathly,Loathly,,,,,,,,,
massiveness,"<p><b>M`ASSIVENESS</b>, n. [See Massy, Massive.] The state of being massy; great weight or weight with bulk; ponderousness.",longwinded,Long-winded,,,,,,,,,
matutinal,<p><b>MAT'UTINAL</b>,loud,Loud,,,,,,,,,
matutine,"<p><b>MAT'UTINE</b>, a. [L. matutinus.] Pertaining to the morning.",loudly,Loudly,,,,,,,,,
meat,"<p><b>MEAT</b>, n.<p><DD>1. Food in general; any thing eaten for nourishment, either by man or beast.<p><DD><DD> And God said, Behold, I have given you every herb--to you it shall be for meat. Gen.1.<p><DD><DD> Every moving thing that liveth, shall be meat for you. <p>Gen.9.<p><DD><DD> Thy carcass shall be meat to all fowls of the air.<p>Deut.28.<p><DD>2. The flesh of animals used as food. This is now the more usual sense of the word. The meat of carnivorous animals is tough, coarse and ill flavored. The meat of herbivorous animals is generally palatable.<p><DD>3. In Scripture, spiritual food; that which sustains and nourishes spiritual life or holiness.<p><DD><DD> My flesh is meat indeed. John.6.<p><DD>4. Spiritual comfort; that which delights the soul.<p><DD><DD> My meat is to do the will of him that sent me. John.4.<p><DD>5. Products of the earth proper for food. Hab.3.<p><DD>6. The more abstruse doctrines of the gospel, or mysteries of religion. Heb.5.<p><DD>7. Ceremonial ordinances. Heb.13.<p>To sit at meat, to sit or recline at the table.",lucific,Lucific,,,,,,,,,
meathe,"<p><b>MEATHE</b>, n. Liquor or drink. [Not used.]",luckily,Luckily,,,,,,,,,
meawl,<p><b>MEAWL. </b>[See Mewl.],luckless,Luckless,,,,,,,,,
mechanic,<p><b>MECHAN'IC</b>,lucrative,Lucrative,,,,,,,,,
mechanical,"<p><b>MECHAN'ICAL</b>, a. [L. mechanicus; Gr. a machine.]<p><DD>1. Pertaining to machines, or to the art of constructing machines; pertaining to the art of making wares, goods, instruments, furniture, &c. We say, a man is employed in mechanical labor; he lives by mechanical occupation.<p><DD>2. Constructed or performed by the rules or laws of mechanics. The work is not mechanical.<p><DD>3. Skilled in the art of making machines; bred to manual labor.<p><DD>4. Pertaining to artisans or mechanics; vulgar.<p><DD><DD> To make a god, a hero or a king, <p><DD><DD> Descend to a mechanic dialect.<p><DD>5. Pertaining to the principles of mechanics, in philosophy;<p>as mechanical powers or forces; a mechanical principle.<p><DD>6. Acting by physical power; as mechanical pressure.<p>The terms mechanical and chimical, are thus distinguished; those changes which bodies undergo without altering their constitution, that is, losing their identity, such as changes of place, of figure, &c. are mechanical; those which alter the constitution of bodies, making them different substances, as when flour, yeast and water unite to form bread, are chimical. In the one case, the changes relate to masses of matter, as the motions of the heavenly bodies, or the action of the wind on a ship under sail; in the other case, the changes occur between the particles of matter, as the action of heat in melting lead, or the union of sand and lime forming mortar. Most of what are usually called the mechanic arts, are partly mechanical, and partly chimical.",lucre,Lucre,,,,,,,,,
mechanically,"<p><b>MECHAN'ICALLY</b>, adv. According to the laws of mechanism, or good workmanship.<p><DD>1. By physical force or power.<p><DD>2. By the laws of motion, without intelligence or design, or by the force of habit. We say, a man arrives to such perfection in playing on an instrument, that his fingers move mechanically.<p>Mechanically turned or inclined, naturally or habitually disposed to use mechanical arts.",lucriferous,Lucriferous,,,,,,,,,
mechanicalness,"<p><b>MECHAN'ICALNESS</b>, n. The state of being mechanical, or governed by mechanism.",lucrific,Lucrific,,,,,,,,,
mechanician,"<p><b>MECHANI'CIAN</b>, n. One skilled in mechanics.",luctation,Luctation,,,,,,,,,
mechanics,"<p><b>MECHAN'ICS</b>, n. That science which treats of the doctrines of motion. It investigates the forces by which bodies are kept either in equilibrium or in motion, and is accordingly divided into statics and dynamics.<p>A mathematical science which shows the effects of powers or moving forces, so far as they are applied to engines, and demonstrates the laws of motion.<p><DD>It is a well known truth in mechanics, that the actual and theoretical powers of a machine will never coincide.",luctual,Luctual,,,,,,,,,
mechanism,"<p><b>MECH'ANISM</b>, n. The construction of a machine, engine or instrument, intended to apply power to a useful purpose; the structure of parts, or manner in which the parts of a machine are united to answer its design.<p><DD>1. Action of a machine, according to the laws of mechanics.",lucubrate,Lucubrate,,,,,,,,,
mechanist,"<p><b>MECH'ANIST</b>, n. The maker of machines, or one skilled in mechanics.",lucubration,Lucubration,,,,,,,,,
mechlin,"<p><b>MECH'LIN</b>, n. A species of lace, made at Mechlin.",lucubratory,Lucubratory,,,,,,,,,
mechoacan,"<p><b>MECHO'ACAN</b>, n. White jalap, the root of an American species of Convolvulus, from Mechoacan, in Mexico; a purgative of slow operation, but safe.",luculent,Luculent,,,,,,,,,
meconiate,"<p><b>MECO'NIATE</b>, n. A salt consisting of meconic acid and a base.",lucullite,Lucullite,,,,,,,,,
meconic,"<p><b>MECON'IC</b>, a. Meconic acid is an acid contained in opium.",ludibrious,Ludibrious,,,,,,,,,
meconite,"<p><b>MEC'ONITE</b>, n. A small sandstone; ammite.",ludicrous,Ludicrous,,,,,,,,,
meconium,"<p><b>MECO'NIUM</b>, n. [Gr. poppy.]<p><DD>1. The juice of the white poppy, which has the virtues of opium.<p><DD>2. The first faeces of infants.",ludicrously,Ludicrously,,,,,,,,,
medal,"<p><b>MED'AL</b>, n. [L. metallum, metal.] An ancient coin, or a piece of metal in the form of a coin, stamped with some figure or device to preserve the portrait of some distinguished person, or the memory of an illustrious action or event.",ludicrousness,Ludicrousness,,,,,,,,,
medallist,"<p><b>MED'ALLIST</b>, n. A person that is skilled or curious in medals.",luff,Luff,,,,,,,,,
meddle,"<p><b>MED'DLE</b>, v.i.<p><DD>1. To have to do; to take part; to interpose and act in the concerns of others, or in affairs in which one's interposition is not necessary; often with the sense of intrusion or officiousness.<p><DD><DD> I have thus far been an upright judge, not meddling with the design nor disposition.<p><DD><DD> What hast thou to do to meddle with the affairs of my family?<p><DD><DD> Why should'st thou meddle to thy hurt? 2 Kings 14.<p><DD>2. To have to do; to touch; to handle. Meddle not with edge-tools, is an admonition to children. When the object is specified, meddle is properly followed by with or in; usually by the former.<p><DD><DD> The civil lawyers--have meddled in a matter that belongs not to them.<p><b>MED'DLE</b>, v.t. To mix, to mingle.<p><DD><DD> He meddled his talk with many a tear.",lug,Lug,,,,,,,,,
meddler,"<p><b>MED'DLER</b>, n. One that meddles; one that interferes or busies himself with things in which he has no concern; an officious person; a busy body.",luggage,Luggage,,,,,,,,,
meddlesome,"<p><b>MED'DLESOME</b>, a. Given to meddling; apt to interpose in the affairs of others; officiously intrusive.",lugger,Lugger,,,,,,,,,
meddlesomeness,"<p><b>MED'DLESOMENESS</b>, n. Officious interposition in the affairs of others.",luggs,Luggs,,,,,,,,,
meddling,"<p><b>MED'DLING</b>, ppr. Having to do; touching; handling; officiously interposing in other men's concerns.<p><DD>1. a. Officious; busy in other men's affairs; as a meddling neighbor.",lugubrious,Lugubrious,,,,,,,,,
mediatrix,"<p><b>MEDIA'TRIX</b>, n. A female mediator.",lumachel,Lumachel,,,,,,,,,
medic,"<p><b>MED'IC</b>, n. A plant of the genus Medicago. The sea-medic is of the same genus; the medic vetch is of the genus Hedysarum.",lumbaginous,Lumbaginous,,,,,,,,,
medicable,"<p><b>MED'ICABLE</b>, a. [See Medical.] That may be cured or healed.",lumbago,Lumbago,,,,,,,,,
medical,"<p><b>MED'ICAL</b>, a. [L. medicus, from medcor, to heal; Gr. cure.]<p><DD>1. Pertaining to the art of healing diseases; as the medical profession; medical services.<p><DD>2. Medicinal; containing that which heals; tending to cure; as the medical properties of a plant.",lumbar,Lumbar,,,,,,,,,
medically,"<p><b>MED'ICALLY</b>, adv. In the manner of medicine; according to the rules of the healing art, or for the purpose of healing; as a simple or mineral medically used or applied.<p><DD>1. In relation to the healing art; as a plant medically considered.",lumber,Lumber,,,,,,,,,
medicament,"<p><b>MED'ICAMENT</b>, n. [L.medicamentum.] Any thing used for healing diseases or wounds; a medicine; a healing application.",lumberroom,Lumber-room,,,,,,,,,
medicaster,"<p><b>MED'ICASTER</b>, n. A quack.",lumbriciform,Lumbriciform,,,,,,,,,
medicate,"<p><b>MED'ICATE</b>, v.t. [L. medico.] To tincture or impregnate with healing substances, or with any thing medicinal.",luminary,Luminary,,,,,,,,,
medicated,"<p><b>MED'ICATED</b>, pp. Prepared or furnished with any thing medicinal.",lumination,Lumination,,,,,,,,,
medicating,"<p><b>MED'ICATING</b>, ppr. Impregnating with medical substances; preparing with any thing medicinal.",lumine,Lumine,,,,,,,,,
meed,"<p><b>MEED</b>, n.<p><DD>1. Reward; recompense; that which is bestowed or rendered in consideration of merit.<p><DD><DD> Thanks to men<p><DD><DD> Of noble minds is honorable meed.<p><DD>2. A gift or present. [Not used.]",lungwort,Lungwort,,,,,,,,,
